donor,usd_value,perc,ids
7X4O5K6JBDWLSXYGGAG6LSTXNGKWXVO3PP4W5YVOSJMOQLGJJ5ZJFF65DA,147.52761811400487,0.5820755511730339,DED7CGC2HICRMRNGTVUCYH5SZO55XRAGPFQS7FGFVRFBJQCW3LJQ
OFLWBWKRI2WY2HBM3IGJZELVYEDQHVMQBBRMQZYJIYL5ZAEJKOGT27QLAA,96.42074130806115,0.3804315209510884,7PKBCCRRXZUQ6PCAZPNH2AUC6QD4RUR74UNTB624G6HXTFZCJ7KQ,K3WN336TZ36CZ6QIFLNX3O5E23ULNSTPMO2CFPH5I6HGWZOODKEA,VHM7QFSYQPZ36WFMD6VR7VKCQAYD7ZVWAA4RN6K6MQTXKD2PIVZQ
B7GK7QBZYACTSHF2FPACBKMGMD5TOOHS2ERCAHX3KQNDLHYJSV4ECO2KEU,89.44081556759323,0.3528919715808134,HWFEFX352BZUIG3DW5GEIO742C4MEWGTEAEL27ZKUECFDPKNFVHA
U3U4S7UPIHOY2LOKWOIQZEJK566UUDBDBBTZRTU6TKWMA6QT65SY4FBI2Q,79.01202051208368,0.31174478363316177,2USL3SC7DTQAWA6ZRWUL24Y4ZALACQ6AWWREZSMVLBDVHDWNFMYQ
OOPX4A36S7GOYAZMCWEXZCV62V3GWKGSIGOO5PF5BBRL2TNRV7ITHWKE7U,75.32384347159099,0.2971929477727771,4JYGQ2XLRFNOA7FEZ5FGFHXYAHLV22IUKME2M4TEL7RNKDWC75MQ
SEOIXMJBVBRKJMKORXRIS6RXHHBQJFV4NWPIITWC5PGHQQC4WCRB56ETJY,69.29976515783515,0.2734247289835382,UZIJ5OGSYUCZZ7FYRJMPXXHROYXHQ7GFUVJSGXD5KRB3TKF6W2KA
EHX7TF5FVLQYQLBBGZ2RLEWZIMT4Q66ILRKVBRTOJJFY3GIFDC3NPUFC4U,68.15210655318161,0.2688966004649448,LSYHCMLMVG4H74TBNNZGMUWGB7BCTNKIH5X3DCBGJ4YIQYLM6CLQ,MZWIOC7NN5YBHPZTCVBRZ5GHAMUYSR7Z2P2GN6HRFCU5AKZLX32Q
WJI3BDYLP7YZMU5GDOAGQIY3NSWBIYB5ZZPSWSS7A7F72XESSJNA4HSGFY,68.13545760859718,0.2688309114521395,5APU4EWV6LHBZZKG3ZCHYBL433MFKHWKRP566MWIRG3TMXCF2JXQ,FAODBTZZDTWTOV4UUDVHUI6A7YB2FGRJ4TW5ELU4RP5I4XOQJLQA,JAV5JSABQV2HJ7MSNEHLSTBUONPRHRCSZDO6PRVMQ5GHHUMHME4A
3II7TTLKYG6GVX7AZYVQ4AJS6C4MVESDYFOEGNL7H7Y6AZTHBRIREZL4WA,59.792374409111495,0.23591297504195283,2NVB7TCK6O26CRHVXDOWL52V2DEDQZIRD2CI3FHRQA6AIJX6BQUA,F5XVGBZODMG57GCMW5A2HAQOHAEKQ5TN4IAJK6GMUEK3U6C5QRHA,A7VUBVGJIOXYPSPWA5GCLYFW5TH5YMWDLLPKHLYEVKIAAZJL4XTA
V6TJNILOYYT2QIY3VGVKOTKOPPHPFH3PYUAJRUGLNBZGNYQH6FUDEBUQSI,45.5823089778181,0.1798466481137085,MUFPUXSYFYENIXOXXAXUGH4DXVWLNWH33RNVL7MMJKRMBHS3B4WQ,ANS3OSHVRUMXPD6H6HUT4YQQE4XHTJ3QSXWRL3VKUVF2BTB4UDQA
DWJGXQ2AAZHAWXD2QDJF7RQUJD3SB5FJC66GMA6SWOCILIYCWCDNYYZ2LQ,44.167479323238425,0.17426438655798399,3MBCVFDEZC7WU4RSFFVNSQTPYTRDTQHJPHNSCEJQBVSAC3GKN7RA,HE35OE23N7HB4JDMYKESNFBARSSSQWE6OJAKIPY72PGV3BPWQFVQ
TD6Z43BWOGUY4XKXC6VNYDSDW3YTRTXW4UD7DEWORTFDKSGQPEBS7KXL3Y,36.56573480992212,0.1442714287373959,GDD235J2HR3RLNMLJLE4QK2PJMGFU2GJW63CNS2XY2JXIMIIVGHA
